Rank 0, m: 0, n: 0

	0	1	2	3	4	5	6	7	
0	0	0	0	0	-0	-0	-0	-0	
1	0	0.899077	1.12113	0.49895	-0.49895	-1.12113	-0.899077	-2.50582e-16	
2	0	2.55513	3.18619	1.41799	-1.41799	-3.18619	-2.55513	-7.16977e-16	
3	0	6.34999	7.9183	3.52398	-3.52398	-7.9183	-6.34999	-1.80087e-15	
4	0	15.4112	19.2174	8.55256	-8.55256	-19.2174	-15.4112	-4.43575e-15	
5	0	37.086	46.2455	20.5812	-20.5812	-46.2455	-37.086	-1.08909e-14	
6	0	88.5578	110.43	49.1459	-49.1459	-110.43	-88.5578	-2.67259e-14	
7	0	209.331	261.032	116.17	-116.17	-261.032	-209.331	-6.55786e-14	
