Rank 0, m: 0, n: 0

	0	1	2	3	4	5	6	7	
0	0	0	0	0	-0	-0	-0	-0	
1	0	0.34674	0.432377	0.192426	-0.192426	-0.432377	-0.34674	-2.50582e-16	
2	0	0.992108	1.23714	0.550579	-0.550579	-1.23714	-0.992108	-7.16977e-16	
3	0	2.49193	3.10739	1.38292	-1.38292	-3.10739	-2.49193	-1.80087e-15	
4	0	8.02404	10.0058	4.45301	-4.45301	-10.0058	-8.02404	-4.43575e-15	
5	0	27.3186	34.0657	15.1607	-15.1607	-34.0657	-27.3186	-1.08909e-14	
6	0	81.2219	101.282	45.0748	-45.0748	-101.282	-81.2219	-2.67259e-14	
7	0	209.331	261.032	116.17	-116.17	-261.032	-209.331	-6.55786e-14	
